"timestamp.ms","nn.interval.ms"
71945,NA
72736.016,791.016
73497.734,761.719
74269.219,771.484
75030.938,761.719
75802.422,771.484
76573.906,771.484
77345.391,771.484
78126.641,781.25
78907.891,781.25
79698.906,791.016
80470.391,771.484
81241.875,771.484
82003.594,761.719
82784.844,781.25
83566.094,781.25
84337.578,771.484
85118.828,781.25
85919.609,800.781
86691.094,771.484
87482.109,791.016
88243.828,761.719
89025.078,781.25
89806.328,781.25
90587.578,781.25
91359.062,771.484
92140.312,781.25
92941.094,800.781
93712.578,771.484
94493.828,781.25
95275.078,781.25
96066.094,791.016
96857.109,791.016
97648.125,791.016
98439.141,791.016
99239.922,800.781
100021.172,781.25
100812.188,791.016
101603.203,791.016
102374.688,771.484
103165.703,791.016
103927.422,761.719
104718.438,791.016
105499.688,781.25
106280.938,781.25
107071.953,791.016
107853.203,781.25
108644.219,791.016
109415.703,771.484
110206.719,791.016
110968.438,761.719
111759.453,791.016
112521.172,761.719
113312.188,791.016
114083.672,771.484
114855.156,771.484
115636.406,781.25
116407.891,771.484
117198.906,791.016
117970.391,771.484
118741.875,771.484
119532.891,791.016
120294.609,761.719
121075.859,781.25
121847.344,771.484
122618.828,771.484
123409.844,791.016
124171.562,761.719
124943.047,771.484
125714.531,771.484
126466.484,751.953
127247.734,781.25
128019.219,771.484
128800.469,781.25
129562.188,761.719
130343.438,781.25
131114.922,771.484
131896.172,781.25
132667.656,771.484
133439.141,771.484
134220.391,781.25
134982.109,761.719
135753.594,771.484
136534.844,781.25
137296.562,761.719
138087.578,791.016
138849.297,761.719
139620.781,771.484
140382.5,761.719
141163.75,781.25
141935.234,771.484
142696.953,761.719
143478.203,781.25
144239.922,761.719
144991.875,751.953
145773.125,781.25
146515.312,742.188
147325.859,810.547
148068.047,742.188
148859.062,791.016
149620.781,761.719
150402.031,781.25
151173.516,771.484
151945,771.484
152726.25,781.25
153517.266,791.016
154298.516,781.25
155070,771.484
155841.484,771.484
156612.969,771.484
157355.156,742.188
158146.172,791.016
158917.656,771.484
159679.375,761.719
160441.094,761.719
161232.109,791.016
162003.594,771.484
162784.844,781.25
163556.328,771.484
164327.812,771.484
165099.297,771.484
165870.781,771.484
166652.031,781.25
167413.75,761.719
168175.469,761.719
168956.719,781.25
169708.672,751.953
170470.391,761.719
171261.406,791.016
172013.359,751.953
172794.609,781.25
173566.094,771.484
174337.578,771.484
175128.594,791.016
175909.844,781.25
176681.328,771.484
177452.812,771.484
178243.828,791.016
179015.312,771.484
179777.031,761.719
180548.516,771.484
181310.234,761.719
182091.484,781.25
182843.438,751.953
183634.453,791.016
184405.938,771.484
185177.422,771.484
185939.141,761.719
186720.391,781.25
187511.406,791.016
188263.359,751.953
189054.375,791.016
189825.859,771.484
190616.875,791.016
191407.891,791.016
192179.375,771.484
192960.625,781.25
193751.641,791.016
194532.891,781.25
195314.141,781.25
196085.625,771.484
196876.641,791.016
197638.359,761.719
198439.141,800.781
199210.625,771.484
199982.109,771.484
200782.891,800.781
201564.141,781.25
202345.391,781.25
203136.406,791.016
203927.422,791.016
204698.906,771.484
205480.156,781.25
206271.172,791.016
207032.891,761.719
207843.438,810.547
208614.922,771.484
209396.172,781.25
210187.188,791.016
210968.438,781.25
211769.219,800.781
212540.703,771.484
213331.719,791.016
214112.969,781.25
214903.984,791.016
215685.234,781.25
216456.719,771.484
217237.969,781.25
218009.453,771.484
218790.703,781.25
