"timestamp.ms","nn.interval.ms"
71509.312,NA
72319.859,810.547
73130.406,810.547
73882.359,751.953
74663.609,781.25
75415.562,751.953
76187.047,771.484
76919.469,732.422
77730.016,810.547
78511.266,781.25
79292.516,781.25
80083.531,791.016
80855.016,771.484
81636.266,781.25
82388.219,751.953
83179.234,791.016
83950.719,771.484
84731.969,781.25
85522.984,791.016
86304.234,781.25
87065.953,761.719
87876.5,810.547
88647.984,771.484
89419.469,771.484
90190.953,771.484
90972.203,781.25
91743.688,771.484
92534.703,791.016
93315.953,781.25
94097.203,781.25
94878.453,781.25
95659.703,781.25
96450.719,791.016
97231.969,781.25
98042.516,810.547
98833.531,791.016
99614.781,781.25
100415.562,800.781
101206.578,791.016
101987.828,781.25
102759.312,771.484
103550.328,791.016
104312.047,761.719
105103.062,791.016
105894.078,791.016
106665.562,771.484
107466.344,800.781
108247.594,781.25
109019.078,771.484
109800.328,781.25
110581.578,781.25
111362.828,781.25
112144.078,781.25
112915.562,771.484
113696.812,781.25
114478.062,781.25
115249.547,771.484
116021.031,771.484
116792.516,771.484
117573.766,781.25
118335.484,761.719
119136.266,800.781
119907.75,771.484
120689,781.25
121460.484,771.484
122241.734,781.25
123022.984,781.25
123794.469,771.484
124565.953,771.484
125327.672,761.719
126089.391,761.719
126831.578,742.188
127632.359,800.781
128403.844,771.484
129175.328,771.484
129946.812,771.484
130718.297,771.484
131499.547,781.25
132280.797,781.25
133022.984,742.188
133823.766,800.781
134595.25,771.484
135366.734,771.484
136138.219,771.484
136919.469,781.25
137690.953,771.484
138462.438,771.484
139204.625,742.188
139995.641,791.016
140767.125,771.484
141538.609,771.484
142310.094,771.484
143071.812,761.719
143843.297,771.484
144614.781,771.484
145356.969,742.188
146147.984,791.016
146919.469,771.484
147690.953,771.484
148462.438,771.484
149233.922,771.484
149985.875,751.953
150776.891,791.016
151528.844,751.953
152329.625,800.781
153101.109,771.484
153882.359,781.25
154653.844,771.484
155454.625,800.781
156206.578,751.953
156997.594,791.016
