# StartTime: 2016/03/14 18:18:53
timestamp.ms,rr.interval.s
204296.77001953125,0.522
204818.77001953125,0.451
205269.77001953125,0.457
205726.77001953125,0.46
206186.77001953125,0.465
206651.77001953125,0.456
207107.77001953125,0.463
207570.77001953125,0.455
208025.77001953125,0.457
208482.77001953125,1.845
210327.77001953125,0.45
210777.77001953125,0.908
211685.77001953125,0.464
212149.77001953125,0.457
212606.77001953125,0.452
213058.77001953125,0.655
213713.77001953125,0.247
213960.77001953125,0.906
214866.77001953125,0.462
215328.77001953125,0.458
215786.77001953125,0.447
216233.77001953125,0.453
216686.77001953125,0.169
216855.77001953125,0.284
217139.77001953125,1.289
218428.77001953125,0.539
218967.77001953125,0.216
219183.77001953125,0.236
219419.77001953125,0.914
220333.77001953125,0.416
220749.77001953125,0.391
221140.77001953125,0.116
221256.77001953125,0.658
221914.77001953125,0.247
222161.77001953125,0.457
222618.77001953125,0.849
223467.77001953125,0.07
223537.77001953125,0.458
223995.77001953125,0.625
224620.77001953125,0.28
224900.77001953125,1.821
226721.77001953125,0.224
226945.77001953125,0.226
227171.77001953125,0.904
228075.77001953125,0.916
228991.77001953125,0.323
229314.77001953125,0.398
229712.77001953125,0.396
230108.77001953125,0.242
230350.77001953125,0.168
230518.77001953125,0.289
230807.77001953125,0.459
231266.77001953125,0.409
231675.77001953125,0.056
231731.77001953125,0.465
232196.77001953125,0.462
232658.77001953125,0.453
233111.77001953125,0.458
233569.77001953125,0.462
234031.77001953125,0.921
234952.77001953125,0.459
235411.77001953125,0.215
235626.77001953125,0.241
235867.77001953125,0.918
236785.77001953125,0.418
237203.77001953125,0.049
237252.77001953125,0.359
237611.77001953125,0.102
237713.77001953125,0.452
238165.77001953125,0.453
238618.77001953125,0.16
238778.77001953125,0.297
239075.77001953125,0.455
239530.77001953125,1.374
240904.77001953125,0.246
241150.77001953125,0.204
241354.77001953125,0.919
242273.77001953125,0.922
243195.77001953125,0.322
243517.77001953125,0.593
244110.77001953125,0.183
244293.77001953125,0.27
244563.77001953125,0.522
245085.77001953125,0.401
245486.77001953125,0.461
245947.77001953125,0.466
246413.77001953125,0.45
246863.77001953125,0.456
247319.77001953125,0.459
247778.77001953125,0.47
248248.77001953125,0.454
248702.77001953125,0.342
249044.77001953125,0.796
249840.77001953125,0.24
250080.77001953125,0.465
250545.77001953125,0.461
251006.77001953125,0.942
251948.77001953125,0.265
252213.77001953125,0.191
252404.77001953125,0.469
252873.77001953125,0.468
253341.77001953125,0.471
253812.77001953125,0.475
254287.77001953125,0.47
254757.77001953125,0.464
255221.77001953125,0.946
256167.77001953125,0.472
256639.77001953125,0.473
257112.77001953125,0.468
257580.77001953125,0.165
257745.77001953125,0.309
258054.77001953125,0.479
258533.77001953125,0.476
259009.77001953125,0.317
259326.77001953125,0.163
259489.77001953125,0.469
259958.77001953125,0.471
260429.77001953125,0.489
260918.77001953125,0.482
261400.77001953125,0.477
261877.77001953125,0.481
262358.77001953125,0.482
262840.77001953125,0.486
263326.77001953125,0.488
263814.77001953125,0.479
264293.77001953125,0.482
264775.77001953125,0.892
265667.77001953125,0.083
265750.77001953125,0.483
266233.77001953125,0.474
266707.77001953125,0.485
267192.77001953125,0.482
267674.77001953125,0.483
268157.77001953125,0.476
268633.77001953125,0.484
269117.77001953125,0.487
269604.77001953125,0.485
270089.77001953125,0.487
270576.77001953125,0.48
271056.77001953125,0.484
271540.77001953125,0.497
272037.77001953125,0.487
272524.77001953125,1.459
273983.77001953125,0.487
274470.77001953125,0.483
274953.77001953125,0.17
275123.77001953125,0.318
275441.77001953125,0.492
275933.77001953125,0.491
276424.77001953125,0.256
276680.77001953125,0.228
276908.77001953125,0.487
277395.77001953125,0.484
277879.77001953125,0.495
278374.77001953125,0.474
278848.77001953125,0.477
279325.77001953125,0.491
279816.77001953125,0.485
280301.77001953125,0.277
280578.77001953125,0.196
280774.77001953125,0.479
281253.77001953125,0.479
281732.77001953125,0.406
282138.77001953125,0.074
282212.77001953125,0.482
282694.77001953125,0.236
282930.77001953125,0.233
283163.77001953125,0.478
283641.77001953125,0.474
284115.77001953125,0.485
284600.77001953125,0.469
285069.77001953125,0.469
285538.77001953125,0.492
286030.77001953125,0.472
286502.77001953125,0.316
286818.77001953125,0.161
286979.77001953125,0.472
287451.77001953125,0.143
287594.77001953125,0.333
287927.77001953125,0.485
288412.77001953125,0.487
288899.77001953125,0.248
289147.77001953125,0.23
289377.77001953125,0.976
290353.77001953125,0.493
290846.77001953125,0.482
291328.77001953125,0.482
291810.77001953125,0.5
292310.77001953125,0.339
292649.77001953125,0.151
292800.77001953125,0.216
293016.77001953125,0.267
293283.77001953125,0.498
293781.77001953125,0.803
294584.77001953125,0.176
294760.77001953125,0.596
295356.77001953125,0.383
295739.77001953125,0.39
296129.77001953125,0.097
296226.77001953125,0.483
296709.77001953125,0.483
297192.77001953125,0.486
297678.77001953125,0.478
298156.77001953125,0.302
298458.77001953125,0.179
298637.77001953125,0.469
299106.77001953125,0.474
299580.77001953125,0.484
300064.77001953125,0.475
300539.77001953125,0.465
301004.77001953125,1.413
302417.77001953125,0.473
302890.77001953125,0.239
303129.77001953125,0.218
303347.77001953125,0.928
304275.77001953125,0.425
304700.77001953125,0.051
304751.77001953125,0.463
305214.77001953125,0.253
305467.77001953125,0.205
305672.77001953125,0.461
306133.77001953125,0.465
306598.77001953125,0.465
307063.77001953125,0.469
307532.77001953125,0.46
307992.77001953125,0.455
308447.77001953125,0.462
308909.77001953125,0.468
309377.77001953125,0.465
309842.77001953125,0.29
310132.77001953125,0.168
310300.77001953125,0.46
310760.77001953125,0.461
311221.77001953125,0.466
311687.77001953125,0.459
312146.77001953125,0.469
312615.77001953125,0.453
313068.77001953125,0.93
313998.77001953125,0.463
314461.77001953125,0.464
314925.77001953125,0.461
315386.77001953125,0.457
315843.77001953125,0.461
316304.77001953125,0.457
316761.77001953125,0.401
317162.77001953125,0.073
317235.77001953125,0.458
317693.77001953125,0.258
317951.77001953125,0.194
318145.77001953125,0.462
318607.77001953125,0.463
319070.77001953125,0.464
319534.77001953125,0.927
320461.77001953125,0.452
320913.77001953125,0.457
321370.77001953125,0.471
321841.77001953125,0.46
322301.77001953125,0.33
322631.77001953125,0.13
322761.77001953125,0.454
323215.77001953125,0.459
323674.77001953125,0.457
324131.77001953125,0.462
324593.77001953125,0.924
325517.77001953125,0.258
325775.77001953125,0.191
325966.77001953125,0.46
326426.77001953125,0.457
326883.77001953125,0.465
327348.77001953125,0.789
328137.77001953125,0.127
328264.77001953125,0.453
328717.77001953125,0.455
329172.77001953125,0.458
329630.77001953125,0.454
330084.77001953125,0.469
330553.77001953125,0.464
331017.77001953125,0.459
331476.77001953125,0.46
331936.77001953125,0.464
332400.77001953125,0.469
332869.77001953125,0.469
333338.77001953125,0.303
333641.77001953125,0.159
333800.77001953125,0.461
334261.77001953125,0.466
334727.77001953125,0.47
335197.77001953125,0.461
335658.77001953125,0.345
336003.77001953125,0.585
336588.77001953125,0.187
336775.77001953125,0.74
337515.77001953125,0.465
337980.77001953125,0.469
338449.77001953125,0.465
338914.77001953125,1.392
340306.77001953125,0.469
340775.77001953125,0.458
341233.77001953125,1.383
342616.77001953125,0.46
343076.77001953125,0.462
343538.77001953125,0.451
343989.77001953125,0.538
344527.77001953125,0.374
344901.77001953125,1.372
346273.77001953125,0.455
346728.77001953125,0.455
347183.77001953125,0.46
347643.77001953125,0.457
348100.77001953125,0.325
348425.77001953125,0.137
348562.77001953125,0.451
349013.77001953125,0.922
349935.77001953125,0.459
350394.77001953125,0.46
350854.77001953125,0.46
351314.77001953125,0.911
352225.77001953125,0.456
352681.77001953125,0.929
353610.77001953125,0.913
354523.77001953125,0.459
354982.77001953125,1.385
356367.77001953125,0.45
356817.77001953125,0.457
357274.77001953125,0.467
357741.77001953125,0.458
358199.77001953125,0.461
358660.77001953125,0.452
359112.77001953125,0.202
359314.77001953125,0.715
360029.77001953125,0.46
360489.77001953125,0.465
360954.77001953125,0.459
361413.77001953125,0.456
361869.77001953125,0.457
362326.77001953125,0.922
363248.77001953125,0.465
363713.77001953125,0.258
363971.77001953125,0.197
364168.77001953125,0.458
364626.77001953125,0.119
364745.77001953125,0.34
365085.77001953125,0.469
365554.77001953125,0.462
366016.77001953125,0.262
366278.77001953125,0.193
366471.77001953125,0.923
367394.77001953125,0.46
367854.77001953125,0.47
368324.77001953125,0.282
368606.77001953125,0.179
368785.77001953125,0.454
369239.77001953125,0.462
369701.77001953125,0.469
370170.77001953125,0.92
371090.77001953125,0.46
371550.77001953125,0.466
372016.77001953125,0.465
372481.77001953125,0.467
372948.77001953125,0.464
373412.77001953125,0.457
373869.77001953125,0.458
374327.77001953125,0.469
374796.77001953125,0.46
375256.77001953125,0.914
376170.77001953125,0.92
377090.77001953125,0.456
377546.77001953125,0.327
377873.77001953125,0.131
378004.77001953125,0.45
378454.77001953125,0.449
378903.77001953125,0.461
379364.77001953125,0.45
379814.77001953125,0.343
380157.77001953125,0.113
380270.77001953125,0.651
380921.77001953125,0.251
381172.77001953125,0.511
381683.77001953125,0.399
382082.77001953125,0.374
382456.77001953125,0.084
382540.77001953125,0.453
382993.77001953125,0.451
383444.77001953125,0.909
384353.77001953125,0.401
