# StartTime: 2016/03/14 18:18:53
timestamp.ms,latitude,longitude,altitude
160858.0,52.8419235,9.22804957,71.0
161858.0,52.84194543,9.2280199,71.0
162858.0,52.84196733,9.22799079,73.0
163858.0,52.8419897,9.22795256,71.0
164858.0,52.84201359,9.22792008,73.0
165858.0,52.84203664,9.22788527,73.0
166858.0,52.84206006,9.2278485,73.0
167858.0,52.84208293,9.22781144,73.0
168858.0,52.84210632,9.22777718,73.0
169858.0,52.84213079,9.22774841,73.0
170858.0,52.84215479,9.22771558,73.0
171858.0,52.84217695,9.22767284,71.0
172858.0,52.84219702,9.22763358,71.0
173858.0,52.84221806,9.22759677,72.0
174858.0,52.84224131,9.22756659,69.0
175858.0,52.84226337,9.22753821,71.0
176858.0,52.8422832,9.22750489,71.0
177858.0,52.84229791,9.22746271,71.0
178858.0,52.8423075,9.22741627,71.0
179858.0,52.84231396,9.22736418,71.0
180858.0,52.84231783,9.22730776,70.0
181858.0,52.842316,9.22724536,68.0
182858.0,52.84231163,9.22718318,67.0
183858.0,52.84230352,9.22711839,67.0
184858.0,52.8422921,9.22705743,65.0
185858.0,52.84227623,9.2270024,65.0
186858.0,52.84225878,9.22695398,65.0
187858.0,52.84223857,9.22690778,65.0
188858.0,52.84221793,9.22686777,65.0
189858.0,52.84219558,9.22683725,66.0
190858.0,52.84217367,9.22681237,67.0
191858.0,52.84215092,9.22678886,67.0
192858.0,52.84212794,9.2267665,68.0
193858.0,52.8421073,9.22674269,69.0
194858.0,52.84208497,9.22671763,69.0
195858.0,52.84206306,9.22669321,70.0
196858.0,52.8420417,9.22666958,71.0
197858.0,52.84201991,9.22664432,71.0
198858.0,52.84199693,9.22662063,71.0
199858.0,52.84197248,9.22660096,71.0
200858.0,52.84194864,9.22657941,72.0
201858.0,52.84192526,9.22655918,72.0
202858.0,52.84190238,9.22653742,73.0
203858.0,52.84188102,9.22651171,75.0
204858.0,52.84186271,9.22648474,74.0
205858.0,52.84184571,9.22646036,73.0
206858.0,52.84182444,9.2264458,73.0
207858.0,52.841809,9.22641863,73.0
208858.0,52.84179285,9.22639208,74.0
209858.0,52.84177683,9.22636391,75.0
210858.0,52.84175845,9.22634497,75.0
211858.0,52.84173858,9.2263289,75.0
212858.0,52.84172042,9.22631357,76.0
213858.0,52.84170148,9.22629902,76.0
214858.0,52.84168208,9.22628067,75.0
215858.0,52.84166394,9.2262583,75.0
216858.0,52.84164585,9.22623825,74.0
217858.0,52.84162944,9.22622235,72.0
218858.0,52.84161339,9.22620747,70.0
219858.0,52.84159732,9.22619231,71.0
220858.0,52.84158121,9.22617395,72.0
221858.0,52.84156479,9.2261564,73.0
222858.0,52.84154862,9.22614331,75.0
223858.0,52.84153187,9.22612833,76.0
224858.0,52.84151751,9.22610684,77.0
225858.0,52.84150442,9.22607922,78.0
226858.0,52.8414898,9.22605016,80.0
227858.0,52.84147173,9.22602316,79.0
228858.0,52.84144878,9.22599286,81.0
229858.0,52.8414276,9.22597033,80.0
230858.0,52.84140826,9.22594895,81.0
231858.0,52.84138772,9.22592509,82.0
232858.0,52.84136607,9.22589958,83.0
233858.0,52.84134288,9.2258737,83.0
234858.0,52.8413177,9.22584762,83.0
235858.0,52.84128926,9.22582861,82.0
236858.0,52.84126393,9.22580825,84.0
237858.0,52.84123958,9.22578906,84.0
238858.0,52.8412174,9.22576513,84.0
239858.0,52.84119475,9.22574154,84.0
240858.0,52.84117291,9.22571828,83.0
241858.0,52.8411464,9.2256963,82.0
242858.0,52.84112146,9.22567596,82.0
243858.0,52.84109378,9.22565952,82.0
244858.0,52.84106746,9.22564695,81.0
245858.0,52.8410489,9.22563714,81.0
246858.0,52.84102991,9.2256232,80.0
247858.0,52.84101097,9.22560067,81.0
248858.0,52.84099115,9.22557368,80.0
249858.0,52.84097144,9.22554683,82.0
250858.0,52.84095019,9.22552347,81.0
251858.0,52.84092569,9.22550001,81.0
252858.0,52.84090097,9.22547903,82.0
253858.0,52.84087386,9.225456,83.0
254858.0,52.84084791,9.22543051,83.0
255858.0,52.84081338,9.22539617,83.0
256858.0,52.840784,9.22536136,84.0
257858.0,52.84075585,9.2253368,81.0
258858.0,52.84072909,9.22533179,79.0
259858.0,52.84070415,9.22532801,72.0
260858.0,52.84068048,9.22532417,72.0
261858.0,52.84065631,9.22531128,74.0
262858.0,52.84063548,9.22529768,75.0
263858.0,52.8406153,9.22527793,77.0
264858.0,52.84059394,9.22525647,78.0
265858.0,52.8405735,9.22523874,79.0
266858.0,52.84055484,9.22522121,80.0
267858.0,52.84053919,9.225201,80.0
268858.0,52.84052369,9.22517966,79.0
269858.0,52.84050739,9.22516189,80.0
270858.0,52.8404928,9.22514274,81.0
271858.0,52.84047874,9.2251202,82.0
272858.0,52.8404636,9.22509611,82.0
273858.0,52.84044519,9.22507646,82.0
274858.0,52.84042019,9.22506359,82.0
275858.0,52.84039944,9.22503961,85.0
276858.0,52.8403773,9.22500675,86.0
277858.0,52.84036523,9.22496449,86.0
278858.0,52.84035122,9.22492328,86.0
279858.0,52.84034459,9.2248759,86.0
280858.0,52.84033818,9.22482752,87.0
281858.0,52.84033117,9.22478949,87.0
282858.0,52.84032118,9.22475659,89.0
283858.0,52.84030898,9.22472835,91.0
284858.0,52.84029807,9.22469986,93.0
285858.0,52.84027801,9.22466953,95.0
286858.0,52.84025372,9.2246386,97.0
287858.0,52.84022652,9.2246037,98.0
288858.0,52.84018643,9.22457023,95.0
289858.0,52.84014418,9.22453635,96.0
290858.0,52.84010448,9.2245121,95.0
291858.0,52.8400691,9.22448414,97.0
292858.0,52.84003165,9.2244578,97.0
293858.0,52.83999241,9.22443939,96.0
294858.0,52.83995663,9.22442022,99.0
295858.0,52.83991754,9.2244117,96.0
296858.0,52.83988007,9.22439769,96.0
297858.0,52.83984335,9.22438817,97.0
298858.0,52.83980566,9.2243805,87.0
299858.0,52.8397665,9.22436663,89.0
300858.0,52.83972941,9.22434891,90.0
301858.0,52.83969463,9.22432755,91.0
302858.0,52.83965906,9.22430861,92.0
303858.0,52.83962412,9.22427981,93.0
304858.0,52.83958543,9.22425565,90.0
305858.0,52.83954746,9.22423416,90.0
306858.0,52.83950906,9.224221,90.0
307858.0,52.83947511,9.2241997,91.0
308858.0,52.83944177,9.22418871,90.0
309858.0,52.83940966,9.22417211,91.0
310858.0,52.83937839,9.22415799,91.0
311858.0,52.83934607,9.22414127,91.0
312858.0,52.83931552,9.22412448,92.0
313858.0,52.83928411,9.22411383,92.0
314858.0,52.83925328,9.22410611,91.0
315858.0,52.8392164,9.22410876,88.0
316858.0,52.83917684,9.22412213,86.0
317858.0,52.83913674,9.22414529,84.0
318858.0,52.83909833,9.22417408,83.0
319858.0,52.83906305,9.22421336,82.0
320858.0,52.83903206,9.22425552,82.0
321858.0,52.83900318,9.22430052,82.0
322858.0,52.83897458,9.22434558,83.0
323858.0,52.83894906,9.22438779,83.0
324858.0,52.83892696,9.2244276,84.0
325858.0,52.83890572,9.22447305,85.0
326858.0,52.83888342,9.22451088,85.0
327858.0,52.83886294,9.22454999,86.0
328858.0,52.83884412,9.22458396,84.0
329858.0,52.83882403,9.2246181,85.0
330858.0,52.83880344,9.22464769,87.0
331858.0,52.83878387,9.2246852,88.0
332858.0,52.83876425,9.22471858,90.0
333858.0,52.83874057,9.22475477,90.0
334858.0,52.83871771,9.2247814,91.0
335858.0,52.83869344,9.2248081,92.0
336858.0,52.83867487,9.22484102,94.0
337858.0,52.83865804,9.224875,95.0
338858.0,52.8386447,9.22490088,96.0
339858.0,52.83862505,9.2249256,97.0
340858.0,52.83860706,9.22495906,96.0
341858.0,52.8385906,9.22498955,97.0
342858.0,52.83857506,9.22501342,97.0
343858.0,52.83855906,9.22503737,95.0
344858.0,52.8385446,9.2250696,94.0
345858.0,52.8385317,9.22510003,95.0
346858.0,52.83851858,9.22512945,94.0
347858.0,52.83850698,9.2251597,96.0
348858.0,52.83849882,9.22519635,94.0
349858.0,52.83848874,9.22524094,94.0
350858.0,52.83847711,9.2252807,94.0
351858.0,52.83846447,9.22531774,93.0
352858.0,52.83845083,9.22535031,94.0
353858.0,52.83843976,9.22538905,94.0
354858.0,52.83842826,9.22542853,94.0
355858.0,52.83841436,9.22546592,94.0
356858.0,52.83840009,9.22550866,93.0
357858.0,52.83838375,9.22555577,94.0
358858.0,52.8383678,9.22559992,96.0
359858.0,52.83834801,9.22566012,96.0
360858.0,52.83832967,9.22570424,95.0
361858.0,52.83831356,9.22575221,94.0
362858.0,52.83829557,9.22579415,93.0
363858.0,52.83828098,9.22584286,92.0
364858.0,52.8382675,9.22589043,89.0
365858.0,52.83825467,9.22593867,89.0
366858.0,52.83823967,9.22598459,90.0
367858.0,52.83822183,9.22602785,90.0
368858.0,52.83820109,9.22606727,91.0
369858.0,52.83817873,9.22609842,91.0
370858.0,52.83815761,9.22613277,93.0
371858.0,52.83813829,9.22617156,95.0
372858.0,52.83812172,9.22621577,95.0
373858.0,52.83810635,9.22625986,97.0
374858.0,52.83809176,9.22630399,95.0
375858.0,52.83807808,9.22634872,94.0
376858.0,52.83806263,9.22638705,95.0
377858.0,52.83804795,9.22642224,95.0
378858.0,52.83803112,9.22645515,96.0
379858.0,52.83800666,9.22649198,96.0
380858.0,52.8379793,9.22653463,97.0
381858.0,52.83794872,9.22656968,98.0
382858.0,52.83792047,9.22658663,98.0
383858.0,52.83790731,9.22662213,97.0
384858.0,52.83790178,9.22667278,97.0
385858.0,52.8379041,9.2267292,95.0
386858.0,52.83790353,9.22678727,94.0
387858.0,52.83790273,9.22684623,97.0
388858.0,52.8378956,9.22689954,96.0
389858.0,52.83788848,9.22695384,97.0
390858.0,52.83787719,9.22699897,99.0
391858.0,52.83786205,9.22704379,99.0
392858.0,52.83784863,9.22708751,96.0
393858.0,52.83783487,9.22713576,97.0
394858.0,52.83782255,9.22718847,98.0
395858.0,52.83780969,9.22724246,100.0
396858.0,52.83779719,9.22729287,102.0
397858.0,52.83778416,9.22734352,100.0
398858.0,52.83777179,9.22739866,99.0
399858.0,52.83775621,9.22745048,99.0
400858.0,52.83773662,9.22749111,101.0
401858.0,52.83771455,9.22752497,102.0
402858.0,52.83769452,9.22755883,103.0
403858.0,52.83767555,9.22759563,103.0
404858.0,52.83766051,9.22763817,104.0
405858.0,52.837646,9.22767486,101.0
406858.0,52.83763418,9.22770987,98.0
407858.0,52.83762238,9.22774871,99.0
408858.0,52.83761383,9.22778909,97.0
409858.0,52.83760591,9.22783055,95.0
410858.0,52.83759686,9.22786741,94.0
411858.0,52.83758273,9.22790215,95.0
412858.0,52.8375676,9.22793496,95.0
